"기준일ID","시간대구분","자치구코드","총생활인구수","남자0세부터9세생활인구수","남자10세부터14세생활인구수","남자15세부터19세생활인구수","남자20세부터24세생활인구수","남자25세부터29세생활인구수","남자30세부터34세생활인구수","남자35세부터39세생활인구수","남자40세부터44세생활인구수","남자45세부터49세생활인구수","남자50세부터54세생활인구수","남자55세부터59세생활인구수","남자60세부터64세생활인구수","남자65세부터69세생활인구수","남자70세이상생활인구수","여자0세부터9세생활인구수","여자10세부터14세생활인구수","여자15세부터19세생활인구수","여자20세부터24세생활인구수","여자25세부터29세생활인구수","여자30세부터34세생활인구수","여자35세부터39세생활인구수","여자40세부터44세생활인구수","여자45세부터49세생활인구수","여자50세부터54세생활인구수","여자55세부터59세생활인구수","여자60세부터64세생활인구수","여자65세부터69세생활인구수","여자70세이상생활인구수"
"20240502","01","11710","721667.3249","32153.5973","16124.9263","18787.2531","16455.861","23339.5911","26247.2062","32571.5713","31567.7386","32654.4386","26048.705","24456.427","18928.0364","13924.6214","27373.1282","30207.0357","15556.6212","18637.8758","20025.537","27918.734","30215.9144","36122.4025","32032.8618","32208.2819","26459.3207","27139.5551","23588.3895","18334.4278","42587.2583"
"20240502","01","11740","530088.8748","22348.4356","12994.9895","15062.2026","11466.2885","15708.4727","16887.9397","22348.3816","21929.6768","24176.6873","18741.2166","18553.3775","15065.2008","11421.7938","23403.597","20549.7799","11470.1589","12971.2469","14126.3386","18539.7284","18726.7358","24946.3088","23262.0266","23899.1016","19758.1267","20720.732","18832.5778","15130.0943","37047.657"
"20240502","02","11110","198256.3049","4686.9799","2824.5634","5841.8649","8987.8698","8076.1617","6767.3997","7804.3578","7315.4146","8231.5923","7934.6129","7706.1847","5872.1433","4165.4783","8198.5017","4375.1035","2664.0434","5969.2682","12484.5716","8748.9871","6750.3496","7670.4503","7083.3143","8008.2961","7659.2695","7675.2827","6518.6341","4738.7412","13496.8653"
"20240502","02","11140","167887.3688","4538.0256","1734.8832","2817.1607","5744.2065","6683.1315","7553.5593","9424.8108","8026.8094","7818.7716","6558.966","5978.1613","4582.5181","3306.466","6461.4676","4622.4156","1963.1295","3347.347","7943.7218","7763.9154","7662.9724","8866.634","7144.4458","6712.3972","5917.6274","6008.6659","5123.0626","3843.1725","9738.919"
"20240502","02","11170","239506.8666","7894.5784","3881.276","4912.7708","6763.6078","8789.1862","10134.2169","12695.2757","11104.8338","11048.2221","9098.0249","8269.4523","6261.384","4454.4743","8848.1901","6236.1966","3074.9104","5317.9354","8981.2562","10733.9383","11625.8938","13486.3536","10921.1949","10209.023","8883.1627","8332.6114","7472.841","5545.1026","14530.9572"
"20240502","02","11200","316711.3964","10236.3353","4220.4006","7259.185","11638.2745","13351.6069","11850.3462","15716.0788","13835.4383","13449.148","11421.5503","10982.4209","8653.6916","5992.3052","11260.8007","9594.2314","4138.6917","7882.0584","14938.4206","14047.5771","13503.7337","16696.0604","13341.4117","13168.2885","11891.3508","11660.5281","9780.1047","7421.6823","18779.6734"
"20240502","02","11215","370094.4154","11234.2117","6030.1778","10085.0903","15580.6001","17444.2526","15158.3642","15282.0879","12954.5778","14321.432","12646.4987","12377.1074","9569.2141","6468.5624","12557.6569","10952.4873","6058.1465","11320.8465","21644.1788","20974.7274","16367.9402","16458.4934","13911.3885","14890.1185","12611.215","13549.4284","11037.3559","8680.5613","19927.6995"
"20240502","02","11230","352811.5257","10134.0656","4995.5968","9267.106","18191.1781","16489.2638","11395.1149","13962.3305","13138.0527","14046.8287","12115.1885","11695.4942","9174.96","6776.4491","14530.3075","9703.6355","4738.2221","10618.8455","27928.9448","17496.8681","12592.1916","14127.0656","12243.7726","12707.2303","11378.319","11719.1935","10271.2433","8462.816","22911.2415"
"20240502","02","11260","369352.4223","13120.3103","6313.8869","7663.1238","9356.9147","13286.2241","13666.0206","15878.2557","14428.6126","14654.0927","13560.1898","15023.202","12003.9473","8823.4388","16848.1579","11795.6422","5613.5597","7490.2839","11733.7447","15527.728","15219.9478","16388.3898","13637.9806","14251.598","14221.8421","16572.0146","14578.52","10665.1655","27029.625"
"20240502","02","11290","445267.0602","16388.211","9155.7338","15042.2853","19156.0213","16011.1269","12645.1722","15351.5175","15485.024","17753.5852","16210.0885","14815.0196","11209.057","8212.4105","17560.4943","15009.2873","8199.5347","16100.0068","27853.0361","17541.4193","14172.3611","17455.4573","16409.5626","18400.4842","17583.5322","16424.6614","13854.1692","10722.1185","30545.6826"
